manuscript_id,dates,locations,persons
"""990000943910205171""",1600 | work creation date | 260$c; 008,,ברטראמוס אייזקוס | author | new data
"""990001119980205171""",5453 | manuscript production date | new data,Amsterdam | produced in | 751$a,דניא בלילוס | author | 100$a
"""990000856010205171""","שצ""ו | manuscript production date | new data","קנדיאה | produced in | new data, חברון | mentioned in | new data, צפת | mentioned in | new data, ירושלם | mentioned in | new data, מצרים | active in | new data","שלמה נחום | scribe | 700$a, שבתי | teacher | 700$a, משה קזאני | commissioner | 700$a, משה | rabbi | 700$a, שמואל | rabbi | 700$a, שבתי קזאני | community member | 700$a, מלכיאל | community member | 700$a, זרחיה קזאני | scholar | 700$a, מלכיאל קזאני | rabbi | 700$a, יאודה קזאני | community member | new data, שמואל קזאני | sage | 700$a, פנוריאה | donor | 700$a, אלונה | donor | 700$a, משה הכהן אשכנזי | sage | 700$a, שלמה כהן בלבו | community member | 700$a"
"""990001086690205171""",1450 | manuscript production date | new data,קרפנטרץ | custom of | new data,"יצחק ליאון | scribe | 700$a, יוסף ליאון | owner | 700$a, אברהם שלום ליאון | owner | 700$a"
"""990001827620205171""","1644 | manuscript production date | 260$c; 008, 1802 | family records date | new data, 1771 | sale date | new data","מאתר דור עמר מן בלאד ס[נח?]אן | produced in | new data, מתא [...] [ש]עוב אלאעלא | sale location | new data","סעדיה יש""""ל | scribe | 700$a, סעדיה נע""""ג | mentioned | 700$a, דאוד | owner | new data, עמראן | seller | 700$a, יוסף | buyer | new data"
"""990000767700205171""",טו אב | manuscript production date | new data,בעיר גדול | produced in | new data,יאקב | owner | new data
"""990001399370205171""",1652 | manuscript production date | 260$c; 008,,"סעדיא | owner | new data, גמילה | previous owner | 700$a, אבראהם | owner | new data"
"""990001775480205171""",1653 | manuscript production date | 260$c; 008,,
"""990000829170205171""",5519 | manuscript production date | new data,קורטובה | active in | new data,"משה | author | 100$a, משה | scribe | 100$a, נתן | translator | 700$a"
"""990001625330205171""",1347 | manuscript production date | new data,,יהושע פלק | commentator | 700$a
"""990026973440205171""",תטז | publication date | new data,דמשק | published in | new data,"חיים ויטאל | author | 100$a; 700$a, שמואל | editor | 700$a, שמואל ויטל | editor | 100$a; 700$a"
"""990000696290205171""","אתתקל""ד | manuscript production date | new data",,
"""990001761840205171""",1670 | manuscript production date | 260$c; 008,,"סלמון | author | 100$a, אברהם | owner | 700$a"
"""990001831070205171""",5455 | manuscript production date | new data,מילייאב | active in | new data,עמנואל | scribe | 700$a
"""990000463570205171""","ת""ם לפ""ק | manuscript production date | new data",ירושלים | acquired in | new data,אליעזר | author | 100$a
"""990001901770205171""","א'תתקס""ב | manuscript production date | new data, א'תתקס""ב | manuscript production date | new data",מדינת עמראן | produced in | new data,יוסף | scribe | 700$a
"""990001167130205171""",,,"ידידה | rabbi | new data, אברהם | recipient | new data"
"""990001121720205171""","1662 | manuscript production date | 260$c; 008, 1663 | cataloging date | new data",,דוד | commentator | 100$a
"""990000463550205171""","שפט | manuscript production date | new data, תשס""ח | publication date | new data","פרנקפורט דמיין | resided in | new data, ירושלים | published in | new data","נפתלי | scribe | 700$a, י. אביבי | author | new data"
"""990036191450205171""","1662 | purchase date | 260$c; 008, א'תתקעג | manuscript production date | new data","קרית סדם | resided in | new data, ניו יורק | owned in | new data","מנצור | owner | 700$a, מוסא | previous owner | 700$a, סלימאן | witness | new data, יצחאק | witness | new data, צילה מזור | donor | 700$a, אברהם יערי | previous owner | 700$a"
"""990001022440205171""","שצ""ז | manuscript production date | new data","קאליי | produced in | new data, קאלי | owned in | new data","יוסף | scribe | 700$a, רקנטי | translator | 100$a, ידידיה | translator | 100$a, יוסף | owner | 700$a"
"""990025934540205171""",ש'ע'ז' | manuscript production date | new data,"קרית פירארה | produced in | new data, בריסילו | commissioned for owner from | new data","משה | scribe and illustrator | 700$a, מרדכי | commissioner | 700$a"
"""990001376840205171""",תכג | manuscript production date | new data,בלאא כהר | produced in | new data,"יום טוב ליפמן | scribe | 700$a, וייבלמן | deceased | 700$a"
"""990000913260205171""",,"הילדסום | unclassified | new data, פראג | unclassified | new data","יהודא המכונה ליב | extracted_person | 700$a, יהודא המכונה ליב | extracted_person | 700$a"
"""990000885660205171""",,"טיסמניצה | unclassified | new data, אוקריינא | unclassified | new data, קליווא | unclassified | new data, פפאלץ | unclassified | new data, פינטשב | unclassified | new data, לונדון | unclassified | new data","אברהם | extracted_person | 100$a, אברהם | extracted_person | 100$a, גומפיל וויזל | extracted_person | 700$a, אהרן | extracted_person | 700$a, יוסף קויא | extracted_person | 100$a; 700$a, נתן | extracted_person | 700$a, שבתי צבי | extracted_person | 700$a, יוסף הכהן | extracted_person | 100$a; 700$a, יוטלה בת ליב הדשר | extracted_person | 700$a"
"""990035802410205171""","אתתקל | manuscript production date | new data, 10.08.1964 | return date | new data","כפר אלאעדאן | produced in | new data, ירושלים | owned in | new data","ישראל בירב אבא מרי | scribe | 700$a, יוסף בירב אבא מרי | scribe | 700$a, ישראל | scribe | 700$a, יוסף | scribe | 700$a, משה | scribe | new data, סעדיה | scribe | 700$a, דוד | scribe | new data, אברם | scribe | new data, מעודד | scribe | new data, שלמה | commissioner | 700$a, סעדיה | commissioner | 700$a, יוסף חובארה | owner | 700$a, שלמה אבן גבירול | author | 700$a"
"""990027840460205171""","תשס""ח | publication date | new data, תקמ""ב | printing date | new data, תש""ע | publication date | new data, תשי""ט | printing date | new data, ת""ה | death date | new data, הי""ח-י""ט | manuscript production date | new data, י""ח-י""ט | manuscript production date | new data","ירושלים | active in | new data, קאראץ | printed in | new data, ירושלים | active in | new data, ירושלים | active in | new data, ירושלים | active in | new data, חברון | active in | new data, ראדאמסק | owned in | new data, ראבינווצר | owned in | new data","מנחם לונזאנו | scribe | 100$a, חיים ויטל | author | 700$a, שמואל פודיילא | questioner | 700$a, חיים | author | 700$a, שלמה סאגיש | recipient | 700$a, מלכיאל אשכנזי | rabbi | 700$a, יצחק לוריא אשכנזי | author | 700$a, יוסף בן טבול | author | 100$a; 700$a, ישראל | scribe | new data, ישראל בנימין | author | new data, ישראל סרוק | author | new data, חיים קאפוסי | questioner | 700$a, צבי מאיר | owner | 700$a, שלמה הכהן | owner | 700$a, י. אביבי | editor | new data, מאיר פופרש | editor | 700$a"
"""990001238680205171""",5454 | manuscript production date | new data,,"יוסף | scribe | 700$a, יוסף | scribe | 700$a"
"""990000831830205171""","תמ""ז | manuscript production date | new data, שע""ה | document issuance date | new data, שפ""ד | document issuance date | new data","בוסיטו | produced in | new data, מנטובה | produced in | new data, מנטובה | produced in | new data, פורלי | resided in | new data","אהרן באסאן | recipient | 700$a; 600$a, אהרן עזריה | rabbi | 700$a; 600$a, גמליאל מונציליסי | rabbi | 700$a, איסוטה | recipient | 600$a, אלחנן יע""ל | father | 700$a; 600$a, אלייא | issuer | new data, יהוסף | father | new data, מנחם מצליח פואה | husband | 700$a; 600$a, יוסף | issuer | 700$a, רפאל ווגירה | rabbi | 700$a, חנניה | approver | 700$a, אליאה פנצי | rabbi | new data, ברוך גליקו | approver | 700$a"
"""990001022860205171""","אתתקנו | manuscript production date | new data, 1676 | acquisition date | new data",בלאד סנחאן | produced in | new data,"אברהם | scribe | 700$a, שלמה | author | 100$a, דוד | owner | 700$a, אהרן | owner | new data, דוד | owner | 700$a"
"""990001510630205171""","5435 | manuscript production date | new data, 1698-1707 | birth date | new data, 17 | purchase date | 008, 1905 | acquisition date | new data","לשלאה דויניזו ממחוז אויגניון | produced in | new data, מודינה | active in | new data, CINGOLI | owned in | new data","עמנואל | scribe | 700$a, אהרן ברכיה | author | 100$a, משה | author | 100$a, מאיר | previous owner | 700$a, יעקב טריויש | owner | 700$a, יצחק יוסף צ'ינגולי | owner | 700$a, ויטוריה טריויש | donor | 700$a"
"""990000559760205171""","ת""י | manuscript production date | new data",פירנצה-לורנציאנה | owned in | new data,"שמשון אבוקארא | scribe | 700$a, יהודה אזולאי | author | 700$a, אברהם | author | new data"
"""990032575610205171""",1690 | manuscript production date | 260$c; 008,Amsterdam | produced in | new data,Matatia | scribe | 100$a
"""990001326670205171""","1618 | unclassified | 260$c, 1618 | unclassified | 260$c",,"יצחק | extracted_person | 100$a, יעקב | extracted_person | 700$a, מנחם עזריה | extracted_person | 700$a, קמילו יאגל | extracted_person | new data"
"""990001248200205171""","5459 | manuscript production date | new data, תנ""ט | manuscript production date | new data",ANCONA | produced in | new data,"Tranquilli de Provenzalibus | author | new data, מ' גסטר | owner | new data"
"""990001855990205171""","שנת חמשת אלפים ארבע מאות שלשה ושלים ליצירה | manuscript production date | new data, תרע""ז | prayer composition date | new data","לישלאה דיווניצו | resided in | new data, באליציען | origin of captives | new data, בוקאווינא | origin of captives | new data, עסטרייך | origin of captives | new data, אונגארין | origin of captives | new data, איטאליא | captivity location | new data, פאססאנו | residence of captives | new data, פוצאנו | mentioned in | new data","עמנואל | scribe | 700$a, שלמה ידידיה חיים קולון | owner | 700$a"
"""990000568160205171""","ת""ט-תל""ד | calendar coverage | new data",,
"""990000828230205171""","5361 | manuscript production date | new data, שנג-שפז | active period | new data","פירארא | produced in | new data, בודפשט | owned in | new data","יוסף זלמן | commander | 700$a, זלמן | owner | 700$a, זלמן | mohel | 700$a"
"""990001209890205171""",אתתקי | manuscript production date | new data,,"זכריה | scribe | 700$a, סעדיה | translator | 700$a, דוד | owner | 100$a; 700$a"
"""990001022880205171""",אתתקסח | manuscript production date | new data,"אלאסי | produced in | new data, אלאשרסי | produced in | new data","משה | scribe | 700$a, מעודד זלה""ה | ancestor | 700$a, שלמה בן יצחק | commentator | 100$a; 700$a"
"""990000788440205171""","תש""ל | publication date | new data",ירושלים | published in | new data,"סעדיה | author | 700$a, מאיר | author | 700$a, נח | translator | 700$a, חיים | commissioner | 700$a"
"""990001065130205171""",חמשה לחדש תשרי שנת חמשת אלפים ארבע מאות וששים לבריאת עולם | manuscript production date | new data,"אויגניון | produced in | new data, קרפנטרץ | custom of | new data",עמנואל | scribe | 700$a
"""990001800810205171""","תכ""ב | manuscript production date | new data, 168 | acquisition date | new data","פירארה | produced in | new data, מונציליסי | active in | new data, ירושלים | acquired in | new data","יהודה פרווינצאלי | recipient | 600$a, מנחם קזיס | author | 100$a; 700$a, אלחנן | author | 100$a, מנחם ריקאנאטי | approver | 100$a; 700$a, פלטיה חנניה | approver | 700$a, יצחק ידידיה | approver | 700$a, שמואל בורגו | approver | new data, דוד חיים | approver | 700$a, שמעון לוריא | approver | 700$a, ישראל מהלמן | owner | new data"
"""990001876060205171""",,לא ידוע | current location | new data,
"""990001709250205171""","תמ""ה | printing date | new data","זולצבך | printed in | new data, פירדא | resided in | new data","אברהם | mentioned | 100$a, יעקב | mentioned | new data, אברהם | author | 100$a, אליעזר | owner | 700$a, י""א וועצלר | owner | new data"
"""990001124870205171""","5419 | work creation date | new data, תלה-תלו | additions date | new data, תכט | death date | new data, תכטי | manuscript production date | new data","מצרים | death location | new data, שאלוניקי | active in | new data, קוסטנטינה | active in | new data","שמואל ויטאל | author | 100$a; 700$a, יעקב קשטרו | rabbi | 700$a, משה ויטאל | scribe | 700$a"
"""990001085960205171""","תכ""ו | manuscript production date | new data",ריגיו | produced in | new data,
"""990035044030205171""",,"ניו-יורק | unclassified | new data, לונדון | unclassified | new data, בודפשט | unclassified | new data, אנקונה | unclassified | new data","יהודה | extracted_person | 700$a, שלמה | extracted_person | 700$a, שלמה מפונציבוצי | extracted_person | 700$a, ש' סימונסון | extracted_person | new data, שמואל | extracted_person | 700$a, אברהם | extracted_person | 700$a, קאסוטו | extracted_person | new data"
"""990000738230205171""","שע""ד | manuscript production date | new data, 1618 | censoring date | new data",גווסטאלה | produced in | new data,"יצחק אלישע דאיינה | scribe | 700$a, משה | author | 100$a, מרדכי גלאנטי | editor | 100$a, Gio. Dominico Carretto | censor | 700$a"
"""990001642250205171""",1364 | manuscript production date | new data,,"חיים ויטל | author | 100$a; 700$a, יעקב צמח | editor | 700$a, ראובן | mentioned | 700$a"
"""990000825080205171""","5436 | manuscript production date | new data, 5595 | ownership transfer date | new data, 5596 | ownership transfer date | new data, 5587 | acquisition date | new data, 5600 | sale date | new data","עיר חדש | produced in | new data, טטרית | active in | new data","יוסף | seller | 100$a; 700$a, יוסף | buyer | 100$a; 700$a, יוסף חזן | witness | 100$a; 700$a, אסתר | seller | 700$a, שמחה | buyer | 700$a, חנניה | owner | 700$a, גדליה שמואל | previous owner | 700$a, יהויכין | borrower | 700$a, שמחה | creditor | 700$a, אהרן | author | 100$a; 700$a, אברהם | author | 700$a"
"""990000667860205171""","שצ""ו | death date | new data, שצ""ו | death date | new data, שצ""ו | death date | new data","קצנטינא | written in | new data, פירארה | owned in | new data, לונדון | owned in | new data","יהודה שוואט | scribe | 700$a, עזוז חזק | son of scribe | 700$a, ישראל חזן | owner | 700$a, עזוז שוואט | owner | 700$a, רבן גמליאל | mentioned author | new data"
"""990000563980205171""",1670 | manuscript production date | 260$c; 008,,"שלמה בירב אבא ישראל | scribe | 700$a, דוד | commissioner | new data, סעיד מעוצ'ה אלגבלי | owner | 700$a"
"""990001022280205171""","שס""ג | manuscript production date | new data","ס' מריני | produced in | new data, מסיניגאלייא | resided in | new data","מורדכי | owner | new data, מרדכי חיים | owner | 700$a, יהושע | community leader | 700$a, אלחנן | owner | 700$a, שמואל | owner | 700$a"
"""990000798880205171""",1635 | manuscript production date | 260$c; 008,,שלמה | author | 100$a
"""990001911540205171""","התמ""ז | manuscript production date | new data, התמ""ז | manuscript production date | new data",ריגייו | produced in | new data,"שמואל דוד | scribe | 100$a; 700$a, יחיאל אוטולינגו | owner | 700$a, מהרר""ש דאלויקייו | author | new data, רב אלפסי | author | new data"
"""990000584490205171""",שנת ו'ל'ש'מ'ח'ה' לפ''ק [=שפ''ט] | manuscript production date | new data,,"אברהם לנייאדו | commentator | new data, שמואל כהן צדק | commentator | 700$a, י אברבניל | commentator | 700$a; 700$e, מ אלבילדא | commentator | 700$a; 700$e, בחיי | commentator | new data, מ אלשיך | commentator | 700$a; 700$e, שמואל אלפלאס | commentator | 700$a, מ אלמושנינו | commentator | 700$a; 700$e, אהרן אביוב | commentator | 700$a, י אדרבי | commentator | 700$a; 700$e, ש חאגיז | commentator | 700$a, חיים בר כמהר""ר יהודה אלפואל | author | 700$a, מאיר דילויא | author | 700$a, אלשיך | author | 700$a"
"""990001402040205171""",1368 | manuscript production date | new data,דמייא | produced in | new data,"חזמק בן מזדש בן חזמק בן חתכי | scribe | 700$a, סעיד בן יעקב בן סעיד בן סאלם | scribe | 700$a, יוסף בן סעיד אלנדאף | owner | 700$a, דוד בן יוסף אלקרואני | owner | 700$a, סעדיה בן יוסף אלפיומי | translator | 700$a, אונקלוס | translator | 700$a"
"""990001361140205171""","א'תתקנ""ו | manuscript production date | new data, ת""ה | manuscript production date | new data, תקנ""א | acquisition date | new data, תרנ""ה | divorce date | new data, תרע""ה | addition date | new data, תרפ""ב | calendar end date | new data, תרס""ו | death date | new data, תרס""ו | death date | new data, תרס""ו | death date | new data, תק""י | calendar end date | new data",מאתא דאר עמר | produced in | new data,"יצחק | author | 700$a, זכריה | commissioner | 700$a, ספרא חלשא | scribe | new data, סעדיה | scribe | new data, סעיד | owner | 700$a, סעידה | person mentioned | new data, יחיא בסיס | deceased | 700$a, שמעון דמארי | deceased | 700$a, סעיד חתכה | deceased | 700$a"
"""990000632200205171""","התל""א | manuscript production date | new data, התל""ה | manuscript production date | new data",,"יוסף | scribe | 700$a, זכריא | owner | new data"
"""990001878130205171""",1607 | manuscript production date | 260$c; 008,,"משה | owner | 700$a, יהודה | owner | 700$a, יוסף | scribe | 700$a"
"""990000634000205171""",תנה ליצירה | manuscript production date | new data,"מאתא אלצ'בירה | written in | new data, מאתא חנאהב | produced in | new data, תימן | active in | new data","סעדיה | owner | 700$a, יוסף | mentioned | 700$a, אלעזר | author | 700$a"
"""990000666370205171""","שפ""ג | manuscript production date | new data, שפ""א | manuscript production date | new data, 1417 | work creation date | new data","מנטובה | produced in | new data, אופנהים | owned in | new data",
"""990001679060205171""",ת'ב'נ'ה' | manuscript production date | new data,"ק""ק בגדאד | written in | new data","יונה מזרחי | scribe | 700$a, שמעון מזרחי | owner | 700$a"
"""990000653720205171""",כו לחדש טבת | manuscript production date | new data,מפראג | produced in | new data,"אליקים געטשלק | scribe | 700$a, צבי הירש | scribe | 700$a, שלמה מולכו | author | 100$a"
"""990001189730205171""","תמ""ז | manuscript production date | new data","עלקטיעי | active in | new data, עראקי | active in | new data, עלקראי | active in | new data","משה | scribe | 700$a, סעדיא | scribe | new data, דוד | person mentioned | new data, משה | author | 700$a, אברהם | owner | 700$a, הרון | owner | 700$a, סולימאן | person mentioned | new data"
"""990001022920205171""",1349 | manuscript production date | new data,קרית דהשן אלקיון | produced in | new data,"שלמה | scribe | 100$a; 700$a, סלימן | seller | 700$a, סלימן | buyer | 700$a"
"""990001197830205171""","ה'תכ""א | manuscript production date | new data, ה'תר""ט | purchase date | new data, ה'תנ""ח | manuscript production date | new data, תכ""ט | sale date | new data","פיסארו | produced in | new data, ירושלם | active in | new data, ריקאנאטי | resided in | new data, תל אביב | owned in | new data","שמואל מוונדולפו | owner | 700$a, ישראל נאגרה | composer | 100$a, משה שמואל מכבי פינצי | owner | 100$a; 700$a, עשהאל פולינייו | seller | new data"
"""990001983850205171""","תמוז באמ''ת | manuscript production date | new data, תל''א | death date | new data, ה'תקי''ג | death date | new data",קרפנטרץ | produced in | new data,"מרדכי | scribe | 700$a, אשטרוק | scribe | new data, משה | beneficiary | 700$a, יצחק | deceased father | 700$a"
"""990001003390205171""","תר""ח | manuscript production date | new data",,"יעקב | supervisor | 700$a, פנחס חי | supervisor | 700$a, יעקב דניאל אולמו | author | 700$a, שמואל מילדולה | author | 700$a"
"""990001252810205171""","תט""ו | manuscript production date | new data",,"יהודה חי פורטה | author | 700$a, יצחק לאמפרונטי | owner | 700$a, יוסף דוד בלא""א יעקב חי | owner | 700$a"
"""990001039990205171""","ת""ן | manuscript production date | new data, 1731 | cataloging date | new data",,"שלמה שבת | scribe | 700$a, אני התלמיד | scribe | new data"
