location,count
מלופולסקה,19
Middle Atlantic States,19
Gulf States,19
Yunnan Sheng,19
ויקטוריה,19
Oregon Territory,19
بولندا,19
West Midlands,19
Varanasi (Uttar Pradesh),19
ספרטה (עיר קדומה),19
"India, South",19
Eritrea,19
זאיר,19
Santa Catarina (State),19
קייפטאון,19
בואנוס איירס,19
Yorkshire,19
Carmel Coast,19
ערבות גבוהות (ארצות הברית),19
Jakarta,19
מהרשטרה,19
בוכרה,19
טירול,19
Owens Valley,19
لبنان,19
אורוגוואי,19
كرواتيا,19
הייראפוליס (עיר קדומה),19
דלתא נהר היאנגצה,19
Bethlehem,19
Sderot,19
Middle West,19
לואיוויל,19
السودان,19
غينيا,19
מיקרונזיה,19
Malta,19
نتانيا,19
קופנהגן,19
באלאט (מחוז איידן),19
Delaware River Valley (N.Y.-Del. and N.J.),19
אור עקיבא,19
לוקנאו,19
טריטוריה אינדיאנית,19
Prussia,19
אוטר פרדש,19
الإمبراطورية الرومانية المقدسة,19
Norwich,19
בילפלד,19
נוארק,19
ראש העין,19
Arabian Peninsula,19
מיקנה,19
ריביירה,19
אנחווי (מחוז),19
Dominican Republic,19
Eilat,19
פיום,19
اليمن (الجمهورية الشعبية الديمقراطية),19
جمهورية افريقيا الوسطى,19
Granada,19
Denmark,19
יוגוסלביה לשעבר,19
חברון,19
Judea (Region),19
Uganda,19
Click here for printed catalog of manuscripts,19
"Tanganyika, Lake",19
Trentino-Alto Adige,19
מוזמביק,19
Iowa,19
איי הבתולה הבריטיים,19
Monaco,19
Azores,19
بريطانيا العظمى,19
Los Angeles County,19
Developed countries,19
האזור הקריבי,19
קישינב,19
Kashmir,19
Togo,19
منطقة حاضرة تل أبيب-يافا,19
בלגיה,19
بوركينا فاسو,19
המפשייר,19
Jutland,19
קוסטה ריקה,19
דומיניקה,19
Saxony,19
Charleston,19
Hannover (Province),19
טרנטינו - אלטו אדיג'ה,19
פולדה,19
אזרבייג'ן,19
Rhodes (Island),19
גיאנה,19
בליז,19
Click here for library hours,19
טריטוריה צפונית-מערבית (ארצות הברית),19
طنجة,19
אזור מטרופולי וושינגטון,19
קפריסין,19
"Africa, French-speaking West",19
New York (State),19
أفريقيا,19
מדבר יהודה,19
Modena,19
בית שערים,19
"Germany, Southern",19
איי מדיירה,19
קוויבק,19
Pisa,19
Yonkers,19
Goa (State),19
קזבלנקה,19
תבריז,19
נוטינגהאמשייר,19
Mecklenburg-Schwerin,19
אנטוליה,19
אקוויליה,19
ניו סאות' ויילס,19
פריז,19
Bangkok,19
לוס אנג'לס (מחוז),19
Western Mediterranean,19
Palau,19
"Brazil, Northeast",19
ריגה,19
Bogota,19
Poznan (Voivodeship),19
Munster,19
מצרים,19
פרובנס,19
טיבינגן,19
Easter Island,19
Timna,19
رودس,19
ג'רבה (אי),19
Côte d'Ivoire,19
מדינות בנלוקס,19
גליל מזרחי,19
אלסקה,19
Lagos,19
Salvador,19
Norfolk,19
רמלה,19
חוף הים השחור,19
West (U.S.),19
Carpi,19
ترينداد وتوباغو,19
"אנגליה, דרום מזרח",19
וושינגטון (מדינה),19
איי מריאנה הצפוניים,19
Kielce,19
אקויטן,19
Guangdong Sheng,19
מניטובה,19
Winston-Salem,19
Developing countries,19
أشدود,19
האיים הקנריים,19
טריטוריה צפונית,19
Ramot Menashe,19
מינסק,19
Asturias,19
Brandenburg (State),19
Kayseri,19
דנמרק,19
غوش قطيف,19
Arava Valley (Israel and Jordan),19
عسقلان,19
קסנתוס (עיר קדומה),19
Bologna,19
מדבר תאר (הודו ופקיסטן),19
Miami,19
Tverya,19
פריגיה,19
North America,19
"Galicia, Eastern",19
Ramla,19
אוגנדה,19
Siedlce,19
אוקיאניה,19
מצר טהואנטפק,19
עמק נהר טנסי,19
Holon,19
Anhui Sheng,19
عين هود,19
Haifa Metropolitan Area,19
צפון מזרח ברזיל,19
רוהר (אזור),19
אזור הרי האפלצ'ים,19
Non-Muslim countries,19
הרי הימליה,19
Friuli,19
פואטו,19
Nice,19
Liverpool,19
אזור צפון האוקיינוס האטלנטי,19
كينيا,19
איטליה,19
הרי יהודה,19
Northern Territory,19
מדינות החוף האטלנטי הדרומי,19
טרנסילבניה,19
אלברטה,19
Oświęcim,19
שלזוויג-הולשטיין,19
Gulf Coast (U.S.),19
וילמינגטון,19
Tanzania,19
Champagne,19
וירטמברג,19
Ruhr (Region),19
"Siberia, Western",19
Turin,19
קניה,19
מזרח אנגליה,19
אזור הודו פסיפיק,19
הנובר (מחוז),19
ציפורי (עיר קדומה),19
רוונסברוק,19
סורינאם,19
פוזנן (מחוז),19
סן פרנסיסקו,19
Manchuria,19
"France, Northern",19
טיאנג'ין,19
אקסטרמדורה,19
בחרין,19
Kabul,19
Moldavia,19
Austria,19
تونس (مدينة),19
Michigan,19
خليج العقبة,19
Vienna,19
Norway,19
שרלוט,19
Wurzburg,19
בואנוס איירס (מחוז),19
פורטלנד,19
Egypt,19
Puget Sound,19
דרום תאילנד,19
British Virgin Islands,19
מונקו,19
Trididad and Tobago,19
Dar es Salaam,19
Emilia-Romagna,19
קונפדרציית מדינות של אמריקה,19
Monroe County,19
Uppsala,19
בולטימור,19
טנג'ניקה,19
ווהלין,19
Amazon River Valley,19
בזאנסון,19
عمان,19
"מקסיקו, מפרץ",19
West Bengal,19
Hrodna,19
Petah Tikva,19
Brussels,19
Sindh,19
Tōhoku Region,19
סומליה,19
ميشيغان,19
אורבייטו,19
ספרד,19
בלפסט,19
טשקנט,19
Bangladesh,19
רואנדה,19
טרינידד וטובגו,19
צרפת הצפונית,19
Crete,19
Podillia,19
באחה קליפורניה,19
Arizona,19
Yavne,19
יבנה,19
ברגמו,19
ים ברינג,19
الضفة الغربية وقطاع غزة,19
Ionian Islands,19
חצי כדור הארץ דרומי,19
טורקמניסטן,19
Burgundy,19
North Pacific Ocean,19
קונגו,19
Görlitz,19
תורינגיה,19
"ירדן, נהר",19
Nara-shi,19
Assam,19
אנטיגואה וברבודה,19
דלתא (אזור),19
Texas,19
Karnak,19
حولون,19
Portugal,19
רמת גן,19
Chicago,19
מערות דונהואנג,19
West Virginia,19
גאורגיה (רפובליקה),19
צ'צ'ניה,19
Slovakia,19
Kinshasa,19
Arab countries,19
"Wales, South",19
East Indies,19
Baghdad,19
Netherlands,19
Wisconsin,19
Canada,19
French-speaking countries,19
Warwickshire,19
Confederate States of America,19
קוואזולו נטאל,19
Cochin,19
القدس الشرقية,19
Bohemia,19
סאו טומה ופרינסיפה,19
Ontario,19
Caria,19
מדגסקר,19
جامو وكشمير,19
ח'וראסאן,19
Rome,19
קריית מוצקין,19
Thessalonikē,19
Potosi (Department),19
Macedonia (Republic),19
סקופיה,19
פרוסיה,19
הרי האלפים,19
איי הים האגאי (יוון וטורקיה),19
קולומביה,19
"דוברוג'ה (רומניה, בולגריה)",19
Central America,19
Liechtenstein,19
"Africa, North",19
Swansea,19
פאלץ,19
סירקיוז,19
ניירובי,19
Lakewood,19
Amman,19
Lima,19
Uruguay,19
ماليزيا,19
דלפי (עיר קדומה),19
באדן-וירטמברג,19
Isle of Man,19
China,19
Alicante (Province),19
דיסלדורף,19
Antigua and Barbuda,19
هندوراس,19
ציריך (קנטון),19
Galicia (Poland and Ukraine),19
East (U.S.),19
מדינות הדרום (ארצות הברית),19
Rocky Mountains,19
جنيف,19
Montenegro,19
Staffordshire,19
Rio Grande do Sul,19
פארס,19
בנגלדש,19
שפלת הים השחור,19
ונציה,19
Cape Breton Island,19
Basilicata,19
Buenos Aires (Province),19
Gansu Sheng,19
לימבורג,19
ירדן,19
Vermont,19
דרום האוקיינוס האטלנטי,19
وهران,19
אוהיו,19
אזור קיסריה,19
Lower Rio Grande Valley,19
מיניאפוליס,19
דרום מערב חדש (ארצות הברית),19
ברודי (מחוז לביב),19
Highlands,19
Edinburgh,19
Antarctica,19
"Tehuantepec, Isthmus of",19
المحيط الهندي,19
אנגליה,19
"France, Southwest",19
North Sea,19
Click here for libray hours,19
Kraków,19
בית שמש,19
Netanya,19
Washington (D.C.),19
Himachal Pradesh,19
הוקאידו,19
ליאז',19
الخليل,19
الصين,19
מחוז הדרום,19
Northwest Territories,19
"California, Gulf of",19
قرطبة,19
Northern Mariana Islands,19
Plymouth,19
Galapagos Islands,19
קליש,19
Andes Region,19
מוסקבה,19
Djibouti,19
Mumbai,19
Toulouse,19
Volga-Ural Region,19
كوستاريكا,19
אזור מטרופולי לונדון,19
Makhtesh Ramon,19
Antwerp,19
דויסבורג,19
לקסינגטון,19
South Carolina,19
פרוסיה המזרחית (פולין ורוסיה),19
Pomerania (Poland and Germany),19
Persian Gulf Region,19
פטגוניה (ארגנטינה וצ'ילה),19
Iran,19
Golan Heights,19
אזור דטרויט,19
חדרה,19
Houston,19
Florence,19
San Antonio,19
Gallipoli Peninsula,19
غامبيا,19
Leipzig,19
كازاخستان,19
New Caledonia,19
New Zealand,19
ויסקונסין,19
טוגו,19
בוכום,19
Swabia,19
ירוחם,19
דורדון,19
Giessen (Hesse),19
שווייץ,19
Nes Tsiyona,19
Brest,19
סרביה,19
צ'אד,19
לומברדיה,19
Troyes,19
فيينا,19
נואבו ליאון (מדינה),19
Worcester,19
דרום צרפת,19
منطقة بحر قزوين,19
Rīga,19
אזור המפרץ הפרסי,19
קאסל,19
Mexico,19
بناما,19
Andorra,19
נתניה,19
Emek Yizre'el,19
סטנפורד,19
Greensboro,19
Slavic countries,19
ווסטר,19
ברוניי,19
סיציליה,19
סן דני,19
كوريا الجنوبية,19
גרמניה (מערבית),19
בריטניה החדשה (אי),19
Oran,19
פולינזיה,19
غينيا الإستوائية,19
Dunhuang Caves,19
أمريكا الجنوبية,19
Bochum,19
Montgomery,19
פרינסטון,19
Atlantic Ocean,19
דקוטה הצפונית,19
Southern Region,19
ليبيا,19
"Yemen, North",19
Brescia,19
דורטמונד,19
סנגמביה,19
Jersey,19
"Africa, Southern",19
וולפנביטל,19
تشيكوسلوفاكيا,19
אגם טנגניקה,19
אירופה המערבית,19
מנילה,19
Latvia,19
Los Angeles Metropolitan Area,19
Puglia,19
גוש קטיף,19
Ruhr River Valley,19
ألبانيا,19
פורט וורת',19
Treviso,19
Johannesburg,19
منطقة حوض المتوسط,19
Hague,19
Harbin,19
וינצ'סטר,19
Eurasia,19
Netherlands Antilles,19
Kiryat Shemona,19
Mecca,19
Corinth,19
הרשות הפלשתינאית,19
לינץ,19
סאמוס,19
בקעת הירדן (ישראל וירדן),19
אוסטיה (עיר קדומה),19
זאכו,19
Side (Extinct city),19
Brody (Lʹvivsʹka oblastʹ),19
Delta (Region),19
Aleppo,19
לימה,19
الجزائر,19
שומר,19
אורגון,19
בירות,19
Casablanca,19
Newfoundland and Labrador,19
בנדין,19
קרקוב,19
Milan,19
רוסיה (פדרציה),19
جنوب السودان,19
גיסן (הסה),19
חרונינגן,19
Eastern Cape,19
قطاع غزة,19
טוקומן,19
אזור האגמים הגדולים (אמריקה הצפונית),19
טרייר,19
טביליסי,19
Amazon River Watershed,19
אברוצו,19
פרנקוניה,19
Zurich,19
המדינות הבלטיות,19
Indian Ocean,19
Johor,19
הונאן שנג,19
סנטיאגו דה קומפוסטלה,19
"סין, צפון-מערב",19
עין גב,19
Okinawa Island,19
Chechnia,19
Ile-de-France,19
رام الله,19
Trinidad and Tobago,19
Columbia,19
Pacific Area,19
Ankara,19
קלגרי,19
לונדון,19
ניו אנגלנד,19
פודיליה,19
שלזיה עילית (פולין-צ'כיה),19
דורא אירופוס (עיר קדומה),19
Maldives,19
גבעתים,19
Zagreb,19
ארצות הקהליה הכלכלית האירופית,19
זולקוה,19
Herzliya,19
الناصرة,19
"Alps, Bavarian",19
Loire River Valley,19
יוקטן (מדינה),19
"China, Northwest",19
Banat,19
Bet She'an Valley,19
كريات أونو,19
الإمبراطورية البيزنطية,19
Charlotte,19
דלוס (אי),19
נברסקה,19
Mannheim,19
Rhineland,19
חוף האוקיינוס השקט (ארצות הברית),19
בנגלור,19
Arava,19
ليختنشتاين,19
Chernivtsi,19
ביירוית,19
البحر الميت (إسرائيل والأردن),19
קולומבוס,19
أفريقيا، غرب,19
Former communist countries,19
בורגוס,19
מזרח,19
Dead Sea (Israel and Jordan),19
חזית המזרח,19
وادي نهر النيل,19
Munich,19
Malay Peninsula,19
Arkansas,19
ארצות מפותחות,19
אמריקה המרכזית,19
תראקיה,19
לסוטו,19
לגוס,19
Saint Petersburg,19
طبريا,19
מונטנגרו,19
سيناء,19
גרודנו,19
Click here for library online catalog,19
"האיים הקריביים, דוברי אנגלית",19
המזרח הלטיני,19
ארגון,19
קולומביה הבריטית,19
Zimbabwe,19
Southwestern States,19
מומבאי,19
منطقة حيفا,19
Jiddah,19
Ancona,19
لاوس,19
Mecklenburg-Vorpommern,19
Ramat Hovav,19
טקסס היל קאנטרי,19
Northern Ireland,19
טוקיו,19
شيكاغو,19
Ann Arbor,19
Indonesia,19
New Mexico,19
אומהה,19
מקסיקו סיטי,19
Bulgaria,19
גרנזי,19
Weimar,19
איסטריה (קרואטיה וסלובניה),19
סן לורנצו דה אל אסקוריאל,19
קוסקו (מחוז),19
קנטרברי,19
אטיקה,19
מדינות חבר העמים הבריטי,19
מגהאלאיה,19
Zakhu,19
Siberia,19
British Isles,19
Ulster (Northern Ireland and Ireland),19
French Guiana,19
סמרקנד,19
וילנה,19
Argentina,19
סינד,19
Lazio,19
Saint Joseph County,19
Quebec (Province),19
Milwaukee,19
Bruges,19
"ישראל, דרום",19
South Pacific Ocean,19
Channel Islands,19
Transylvania,19
רומניה,19
נווארה,19
الحجاز,19
نيوزيلندا,19
ויילס,19
بلجيكا,19
אפידאורוס (עיר קדומה),19
Jordan River,19
"Thailand, Southern",19
שאנשי שנג,19
הקווקז הדרומי,19
צפון תאילנד,19
Paraguay,19
Nigeria,19
ביאליסטוק,19
"אנגליה, צפון מזרח",19
Mediterranean Coast,19
שיראז,19
South Atlantic Ocean,19
פיליפינים,19
نيكاراغوا,19
Mediterranean Region,19
ורונה,19
דאלאס,19
Yemen,19
أوروبا,19
מישקולץ,19
Jordan Valley,19
דרום תימן,19
ורשה,19
Great Lakes (North America),19
אנגליה הצפונית,19
איים המלדיביים,19
الإكوادور,19
Kiryat Mal'akhi,19
Lincoln County,19
Yarkon River,19
מדינות המפרץ הפרסי,19
טרגונה,19
מחוז סנט ג'וסף,19
Siena,19
Poland,19
Bet Guvrin,19
Florida,19
חרבין,19
באהיה (מדינה),19
פראגווי,19
רוסיה הדרומית,19
לסטר,19
Baltic Sea,19
סיירה לאון,19
عتليت,19
צ'נגדו,19
בנין,19
Ostrava,19
Kelantan,19
جزر الباهاما,19
Mekong River Valley,19
גלוסטר,19
Micronesia (Federated States),19
אוסטרוה,19
Stockholm,19
קינשאסה,19
Santo Domingo,19
إيطاليا,19
Asti,19
אקס-אן-פרובנס,19
החוף האטלנטי (אמריקה הצפונית),19
ים המלח (ישראל וירדן),19
היספניולה,19
Martinique,19
أستراليا,19
Worms,19
Germany (West),19
הרי הרוקי,19
קייסרי,19
ריימס,19
קריית אתא,19
צידון,19
קוצ'ין,19
Dusseldorf,19
יוהנסבורג,19
تل أبيب-يافا,19
אזמיר,19
Atlantic Coast,19
אתיופיה,19
Birmingham,19
"Canada, Eastern",19
Taranto,19
شاطئ البحر المتوسط,19
Fulda,19
بربادوس,19
"Russia, Southern",19
זלצבורג,19
האוקיינוס האטלנטי,19
קרולינה הדרומית,19
"Sharon, Plain of",19
נובה סקוטיה,19
Soviet Union,19
אמריקה הלטינית,19
Ugarit (Extinct city),19
האגמים הגדולים (אמריקה הצפונית),19
קליבלנד,19
Honduras,19
גרנובל,19
Castilla y León,19
Massachusetts,19
קארפי,19
"Saint Helens, Mount",19
Macedonia,19
טולדו,19
النرويج,19
Yucatan (State),19
جزر سليمان,19
שייח' אבריק,19
أندونيسيا,19
Geneva,19
פלרמו,19
ולנסיה,19
Polynesia,19
Nunavut,19
Papal States,19
Oaxaca Valley,19
קזחסטן,19
Qayrawan,19
בנגל המערבית,19
אזור מטרופולי דטרויט,19
Liguria,19
São Paulo,19
כלח (עיר קדומה),19
Michoacán de Ocampo,19
كوريا,19
רודוס,19
Louisville,19
Indochina,19
שפילד,19
אנדלוסיה,19
Vichy,19
Iraq,19
אשדוד,19
Deganya Alef,19
Ofakim,19
ולאכיה,19
كيوتو,19
לימוז',19
רוסיה הצפונית,19
אזור הוולגה-אוראל,19
וינה,19
Reggio Emilia,19
Mishor ha-Hof,19
Sussex,19
Sao Paulo,19
נחל קישון,19
Bratislava,19
Babylon (Extinct city),19
South Australia,19
Patagonia (Argentina and Chile),19
ערבה,19
Bielefeld,19
נוריץ',19
Beijing,19
ג'דה,19
אוקינוה (אי),19
קטלוניה,19
Dallas,19
Sweden,19
Rocky Mountains Region,19
סוואנה,19
ציריך,19
Pacific Coast (North America),19
Cape Town,19
מקלנבורג-שוורין,19
Oswiecim,19
מלנזיה,19
Pesaro,19
לאוס,19
"England, Northern",19
Sidon,19
Puerto Rico,19
טקסס,19
Maryland,19
الرملة,19
ראוניון,19
אפריקה המרכזית,19
ליטא (דוכסות גדולה),19
الدول العربية,19
שדליץ,19
ויניפג,19
الجليل,19
Deir el-Medina Site,19
Timna Site,19
Bahrain,19
טייבה,19
הרי האטלס,19
נאשוויל,19
אילת,19
Macau (Special Administrative Region),19
ברשיה,19
אוקראינה המערבית,19
שמפניה,19
Hasanlu Site,19
איידהו (טריטוריה),19
טג'יקיסטן,19
גדנסק,19
קינגסטון,19
מיינץ (ריינלנד-פפאלץ),19
Greece,19
"אפריקה, דרומית לסהרה",19
כינרת (מושבה),19
אריתריאה,19
Rhodesia,19
נורבגיה,19
إنجلترا,19
ניו דלהי,19
Malopolska,19
Hauran,19
حيفا,19
Asia,19
סוסה,19
Panama,19
النوبة,19
צ'כוסלובקיה,19
Bavaria,19
פרנקפורט דמיין,19
دول الخليج الفارسي,19
الموصل,19
סלינוס (עיר קדומה),19
רג'יו,19
Arctic Ocean,19
Serbia and Montenegro,19
Gujarat,19
טוסון,19
ליון,19
Southern Hemisphere,19
קוויבק (מחוז),19
Tyre,19
Toronto Metropolitan Area,19
طهران,19
בת ים,19
גליל עליון,19
Mekong River Region,19
Dhofar,19
Brazil,19
אקרה,19
קנטבריה,19
איל דה פראנס,19
תאילנד,19
Mississippi River,19
גיברלטר,19
Versailles,19
تشيلي,19
Kaliningrad,19
Yucatan Peninsula,19
Hārer,19
יורקשייר,19
فنلندا,19
أنغولا,19
סופיה,19
"אזור הרי האפלצ'ים, דרום",19
"Transnistria (Territory under German and Romanian occupation, 1941-1944)",19
Acre,19
Rhineland-Palatinate,19
Adriatic Sea,19
קייב,19
Aden,19
Basrah,19
סינסינטי,19
האלה על נהר זאלה,19
"עמק נהר דלאוור (ניו יורק, דלאוור וניו ג'רזי)",19
داغستان,19
הירושימה,19
Najd,19
KwaZulu-Natal,19
Punjab,19
קנדה,19
Guangzhou,19
Phoenix,19
York,19
Hiroshima-shi,19
קייפ קוד,19
אזור הים האגאי,19
ונצואלה,19
Dijon,19
פולה,19
Baltimore,19
Normandy,19
سيريلانكا,19
País Vasco,19
בוסניה והרצגובינה,19
Hebron,19
Mississippi,19
الجمهوريات السوفييتية السابقة,19
ראדום,19
Vietnam,19
קיימברידג'שייר,19
Michoacan de Ocampo,19
טהיטי (אי),19
Lorraine,19
Georgia (Republic),19
Tadmur,19
Jackson County,19
אזור נהר הוולגה,19
צ'ונגצ'ינג,19
سانت لوسيا,19
الشرق الأوسط,19
ניו זילנד,19
Barcelona,19
Toledo,19
"Galilee, Upper",19
Najaf,19
אלכסנדריה,19
טרקוויניה,19
אפריקה הצפונית,19
Dresden,19
Madeira Islands,19
מקאו,19
"Alaska, Gulf of",19
מרילנד,19
Surinam,19
Xanthos (Extinct city),19
קבול,19
מחוזות ימיים (קנדה),19
Groningen,19
שינג'יאנג,19
אסקס (מחוז),19
לוקה,19
"West Indies, British",19
קירנאיקה,19
أريحا,19
דרום אפריקה,19
Botswana,19
ברית המועצות לשעבר,19
אריזונה,19
Devon,19
إريتريا,19
טייפה,19
Ramat Gan,19
مقدونيا,19
קמניץ,19
ג'אווה,19
Perga (Extinct city),19
Reims,19
Addis Ababa,19
איי הודו המזרחית,19
פינסק,19
طرابلس الغرب,19
Alessandria,19
Gloucestershire,19
باراغواي,19
La Paz,19
האגן הגדול (אזור בארצות הברית),19
Curaçao,19
Pannonia,19
עמק נהר הנילוס,19
גרמניה הדרומית,19
Mauritius,19
חץ האי מלאי,19
Algeria,19
פנסילבניה,19
Canterbury,19
Assyria,19
Tucson,19
بنين,19
"Bohemia and Moravia (Protectorate, 1939-1945)",19
הליפקס,19
דרום האוקיינוס השקט,19
Kolkata,19
Saskatchewan,19
חבל הסודטים,19
קאריה,19
Gulf Coast,19
Suffolk,19
עפולה,19
Lubeck,19
וויבודינה,19
Mosul,19
קמבודיה,19
Timor-Leste,19
ברבדוס,19
גואנגז'ו,19
العفولة,19
צ'נסטוחובה,19
Yagur,19
Samoa,19
Santa Clara County,19
איווה,19
הים הבלטי,19
Hispaniola,19
פונה,19
Northumberland,19
Balkan Peninsula,19
אזור הרי הרוקי,19
St. Louis,19
סארלנד,19
יוון,19
סחנין,19
Metz,19
יטבתה,19
מקסיקו,19
הונג קונג,19
Odisha,19
רוד אילנד,19
Missouri,19
"Europe, German speaking",19
Bolivia,19
ישראל,19
"נילוס, נהר",19
צנעא,19
Antioch,19
קולקטה,19
Masada Site,19
Georgia,19
شبه جزيرة البلقان,19
Livorno,19
מנהיים,19
Baden,19
Reunion,19
ג'רבה,19
Sonora (State),19
קיליקיה,19
בולוניה,19
אי הפסחא,19
קמפניה,19
Gdera,19
Nottinghamshire,19
Luxembourg,19
United States,19
Aruba,19
Nantes,19
Lublin,19
Missouri River Valley,19
ג'קסון,19
Cyprus,19
תמנע,19
European Economic Community countries,19
ברוז',19
Czechoslovakia,19
Korea (South),19
Antarctic Ocean,19
Dhaka,19
מרסי,19
מדינות האוקינוס השקט,19
קלוז',19
טוסקנה,19
Vancouver Island,19
מנצ'סטר,19
מירון,19
אזור חיפה,19
Japan,19
الغابون,19
טריסטה,19
Mozambique,19
בלארוס,19
Kuwait,19
Basel,19
פורטוגל,19
أصفهان,19
אפגניסטן,19
איים הבריטיים,19
Spain,19
ואיאדוליד,19
Naples,19
Aargau,19
lcsh,19
Azerbaijan,19
איי הודו המערבית הצרפתיים,19
القاهرة,19
איי קוק,19
"סין, דרום-מזרח",19
לודז',19
Indiana,19
מיין,19
Tonga,19
Emek Zevulun,19
הרי הקרפטים,19
גרנדה,19
כרתים,19
Santa Fe,19
Nitsanim,19
Corsica,19
Karmi'el,19
Colorado,19
השרון,19
Syria,19
"Europe, German-speaking",19
רומא,19
המישורים הגדולים,19
Bergamo,19
"קומרן, אתר",19
Sparta,19
Baltic States,19
Cape Verde,19
עמק נהר הפרת,19
Emden (Lower Saxony),19
هونغ كونغ,19
Sardinia,19
إسرائيل,19
كفار سابا,19
New South Wales,19
שדרות,19
דמשק,19
Tangier,19
Andes,19
Kilimanjaro Region,19
Tunis,19
Zurich (Canton),19
קאסינו,19
Braunschweig,19
Mali,19
ناميبيا,19
Carthage (Extinct city),19
אורן,19
ים סוף,19
سان مارينو,19
Jericho,19
South America,19
רוסיה,19
Detroit Metropolitan Area,19
مراكش,19
Transkei,19
אנקונה,19
Indianapolis,19
עין הוד,19
South Asia,19
بابل,19
יאסי,19
אתוס,19
Yemen (People's Democratic Republic),19
פררה,19
אוסטרלאסיה,19
الأرجنتين,19
Xinjiang Uygur Zizhiqu,19
מקסיקו הצפונית,19
Euboea Island,19
"Switzerland, German-speaking",19
السلطة الوطنية الفلسطينية,19
אואחאקה,19
Taipei,19
חצי האי אבלון,19
נג'ד,19
טולוז,19
גליציה המזרחית,19
אמריקה הצפונית הצפונית-מערבית,19
Atlantic States,19
Dakota Territory,19
Kingston,19
צ'רניהיב,19
Richmond,19
Belgrade,19
Rotterdam,19
Great Rift Valley,19
Russia (Federation),19
Chicago Metropolitan Area,19
ווסט פוינט,19
Peki'in,19
סאו פאולו (מדינה),19
Pennsylvania,19
פירנצה,19
ערב הדרומית,19
بخارى,19
Veracruz-Llave (State),19
ברי Berry,19
גינאה ביסאו,19
اليونان,19
"Ukraine, Western",19
Baden Württemberg,19
Narbonne,19
Illinois,19
Utah,19
אילינוי,19
ג'קרטה,19
ספרד החדשה,19
יהודה ושומרון ורצועת עזה,19
סיירה נבאדה (קליפורניה ונבדה),19
Eastern Desert,19
סלמנקה,19
Istanbul,19
Tarragona,19
ריצ'מונד,19
דאר א-סלאם (טנזניה),19
"Aqaba, Gulf of",19
"Africa, French-speaking",19
Bessarabia (Moldova and Ukraine),19
ניקרגואה,19
Mari (Extinct city),19
פירת,19
Click here for information on visiting terms,19
Tire,19
Tuscany,19
פרנמבוקו,19
غرناظة,19
אגם כנרת,19
Mexican-American Border Region,19
Kharkiv,19
"Italy, Southern",19
אשקלון,19
Galveston,19
بات يام,19
Somerset,19
Latin Orient,19
גרינלנד,19
